"filename", "language", "Python", "comment", "blank", "total"
"c:\Users\Misah\OneDrive\Plocha\soubor\PV-Game\Server\Database\Actions\Inventory_db.py", "Python", 7, 3, 1, 11
"c:\Users\Misah\OneDrive\Plocha\soubor\PV-Game\Server\Database\Actions\Load_player.py", "Python", 4, 0, 0, 4
"c:\Users\Misah\OneDrive\Plocha\soubor\PV-Game\Server\Gameobjects\Player.py", "Python", 4, 0, 0, 4
"c:\Users\Misah\OneDrive\Plocha\soubor\PV-Game\Server\Interfaces\Inventory_level.py", "Python", 5, 0, 0, 5
"c:\Users\Misah\OneDrive\Plocha\soubor\PV-Game\Server\__init__.py", "Python", 1, 0, 0, 1
"Total", "-", 21, 3, 1, 25
