"filename", "language", "Python", "comment", "blank", "total"
"c:\Users\Misah\OneDrive\Plocha\soubor\PV-Game\Server\Database\Actions\Load_player.py", "Python", 3, 1, 0, 4
"c:\Users\Misah\OneDrive\Plocha\soubor\PV-Game\Server\Gameobjects\Player.py", "Python", 2, 0, 0, 2
"c:\Users\Misah\OneDrive\Plocha\soubor\PV-Game\Server\Interfaces\Inventory_level.py", "Python", 9, 1, 1, 11
"c:\Users\Misah\OneDrive\Plocha\soubor\PV-Game\Server\Others\Connection.py", "Python", 2, 0, 1, 3
"Total", "-", 16, 2, 2, 20
