"filename", "language", "Python", "comment", "blank", "total"
"c:\Users\Misah\OneDrive\Plocha\soubor\PV-Game\Server\Gameobjects\Player.py", "Python", -3, 0, 0, -3
"c:\Users\Misah\OneDrive\Plocha\soubor\PV-Game\Server\NPC_battle\Battle_NPC.py", "Python", 6, 0, 1, 7
"c:\Users\Misah\OneDrive\Plocha\soubor\PV-Game\Server\NPC_battle\NPC_battle.py", "Python", 28, 16, 8, 52
"Total", "-", 31, 16, 9, 56
