"filename", "language", "Python", "comment", "blank", "total"
"c:\Users\Misah\OneDrive\Plocha\soubor\PV-Game\Server\NPC_battle\NPC_battle.py", "Python", 9, 0, -1, 8
"Total", "-", 9, 0, -1, 8
