"filename", "language", "Markdown", "Python", "comment", "blank", "total"
"c:\Users\Misah\OneDrive\Plocha\soubor\PV-Game\Client\__init__.py", "Python", 0, 8, 0, 0, 8
"c:\Users\Misah\OneDrive\Plocha\soubor\PV-Game\README.md", "Markdown", 8, 0, 0, 2, 10
"Total", "-", 8, 8, 0, 2, 18
