"filename", "language", "Python", "comment", "blank", "total"
"c:\Users\Misah\OneDrive\Plocha\soubor\PV-Game\Server\Gameobjects\Map\Forest_of_life\Forest_of_life.py", "Python", 3, 0, 0, 3
"c:\Users\Misah\OneDrive\Plocha\soubor\PV-Game\Server\NPC_battle\NPC_battle.py", "Python", 10, 0, 3, 13
"Total", "-", 13, 0, 3, 16
