"filename", "language", "Markdown", "Python", "comment", "blank", "total"
"c:\Users\Misah\OneDrive\Plocha\soubor\PV-Game\Server\Database\Actions\Set_quests.py", "Python", 0, 8, 1, 1, 10
"c:\Users\Misah\OneDrive\Plocha\soubor\PV-Game\Server\Gameobjects\Map\Forest_of_life\Forest_of_life.py", "Python", 0, 3, 0, 0, 3
"c:\Users\Misah\OneDrive\Plocha\soubor\PV-Game\Server\Interfaces\Inventory.py", "Python", 0, 13, 0, 6, 19
"c:\Users\Misah\OneDrive\Plocha\soubor\PV-Game\Server\Interfaces\Profil\Strange_profile.py", "Python", 0, 0, 0, -1, -1
"c:\Users\Misah\OneDrive\Plocha\soubor\PV-Game\Server\README.md", "Markdown", 23, 0, 0, 4, 27
"Total", "-", 23, 24, 1, 10, 58
